timestamp,voltage_v,voltage_filtered_v,current_a,current_filtered_a,average_current_a,discharged_mah,remaining,scale,temperature,cell_count,voltage_cell_v[0],voltage_cell_v[1],voltage_cell_v[2],voltage_cell_v[3],max_cell_voltage_delta,capacity,cycle_count,run_time_to_empty,average_time_to_empty,serial_number,connected,system_source,priority,is_powering_off,warning
230583057,14.550865,14.626507,9.337199,9.722387,0.0,435.27902,0.40129846,1.1163691,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
231082336,14.810384,14.650392,9.4984,9.250073,0.0,436.54764,0.40084383,1.1146754,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
231582388,14.658253,14.663388,10.6268,9.142752,0.0,437.80063,0.4004882,1.1138566,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
232082332,14.586661,14.68191,8.4816,8.716628,0.0,439.00626,0.40015978,1.1131657,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
232593612,14.586661,14.677567,8.642799,8.870319,0.0,440.27777,0.3998524,1.1131166,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
233096513,14.076575,14.660575,9.8331995,9.00132,0.0,441.53946,0.39954376,1.1139274,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
233593628,14.747741,14.687331,8.556,8.850851,0.0,442.75278,0.39925915,1.1119472,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
234092533,14.631406,14.668625,9.014799,9.215746,0.0,444.05518,0.39897016,1.1131643,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
234592611,14.541917,14.579299,12.8216,10.208782,0.0,445.51324,0.39855462,1.1191268,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
235103095,14.470326,14.547702,12.772,11.106683,0.0,447.14383,0.39790282,1.1199319,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
235602336,14.300298,14.558129,11.2716,10.62722,0.0,448.59985,0.397304,1.1189892,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
236102749,14.59561,14.519168,8.5064,11.327443,0.0,450.269,0.39659923,1.1205583,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
236602600,14.470326,14.504588,12.1396,11.07503,0.0,451.7122,0.39596367,1.1232243,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
237102334,14.461377,14.542118,10.6764,10.286065,0.0,453.05774,0.39527223,1.121167,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
237602332,14.43453,14.533298,10.1928,10.513955,0.0,454.5348,0.39460424,1.1211338,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
238112811,14.631406,14.529271,9.8331995,10.595524,0.0,456.04666,0.39392558,1.1210938,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
238612618,14.711945,14.5138035,10.8004,10.798075,0.0,457.61612,0.39313954,1.1228491,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
239112680,14.532968,14.478968,11.098,11.10093,0.0,459.19003,0.39233127,1.1245466,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
239612343,14.36294,14.489872,10.8376,11.1484375,0.0,460.74518,0.39154235,1.1231626,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
240112594,14.336094,14.454872,12.263599,11.969227,0.0,462.4409,0.39072093,1.1251675,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
240613303,14.577712,14.456249,11.9784,11.790907,0.0,464.07095,0.3899052,1.1246873,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
241112517,14.685099,14.441861,10.726,11.618629,0.0,465.6525,0.38908827,1.126347,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
241612621,14.60456,14.419265,11.1724,11.562308,0.0,467.24777,0.38815877,1.1277951,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
242122332,14.255553,14.395154,12.6604,12.126889,0.0,469.00528,0.3871573,1.1284853,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
242622920,14.273451,14.35872,13.5904,13.084104,0.0,470.8846,0.38611528,1.1296064,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
243122364,14.380837,14.29688,13.5036,13.856155,0.0,472.8717,0.38490862,1.1326976,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
243622372,14.524019,14.323906,10.5152,12.8827,0.0,474.61612,0.38373044,1.1309547,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
244123199,14.90882,14.446068,7.3532,10.583341,0.0,475.94943,0.38282582,1.1247114,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
244622334,14.702996,14.5769005,6.4852,8.494041,0.0,476.98193,0.38233298,1.1183163,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
245122332,14.380837,14.609518,10.3044,8.950835,0.0,478.20578,0.38202626,1.116827,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
245623015,14.524019,14.51466,14.384,11.073168,0.0,479.90033,0.38154167,1.1215787,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
246122332,14.389786,14.499391,11.0608,11.254186,0.0,481.49414,0.3809494,1.1222818,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
246622339,14.60456,14.552409,9.882799,10.279557,0.0,482.83997,0.3804641,1.1193651,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
247122334,14.658253,14.542247,11.9784,10.953335,0.0,484.40454,0.3800055,1.1197236,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
247623385,14.524019,14.544461,10.3912,10.755368,0.0,485.89154,0.37955448,1.1192958,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
248122332,14.613508,14.529525,12.375199,11.112358,0.0,487.44098,0.37910372,1.1200647,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
248622354,14.559815,14.523108,10.341599,11.054975,0.0,488.97794,0.3786202,1.1205531,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
249132595,14.667201,14.537154,9.9696,10.562864,0.0,490.43423,0.37816384,1.1198694,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
249635113,14.846178,14.546185,10.478,10.497531,0.0,491.89072,0.37772912,1.1195792,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
250132537,14.738792,14.547949,9.684401,10.241288,0.0,493.2868,0.37728986,1.1204549,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
250633721,14.59561,14.590527,10.3044,9.793243,0.0,494.58945,0.37692896,1.1177957,nan,4,0.0,0.0,0.0,0.0,0.0,0,0,0,0,0,1,1,0,0,0
